Time,"Nov2021","Dec2021","Jan2022","Feb2022","Mar2022","Apr2022","May2022","Jun2022","Jul2022","Aug2022","Sep2022","Oct2022","Nov2022","Dec2022","Jan2023"
"Country",
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",300,448,394,382,401,383,420,440,367,410,335,535,345,485,485
"Angola",963,1142,663,1119,1078,840,964,1055,894,977,0,901,719,964,1001
"Argentina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",272.1987,307.4003,250.58,220.8368,187.3406,255.002,229.8965,314.9447,146.449,237.9797,293.8173,280.7732,237.0683,271.2635,237.7419
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",467.5037,470.2535,454.0871,460.625,439.8226,482.2437,482.1406,401.4193,434.3545,425.7958,425.249,426.9845,436.7953,427.2223,0
"Bahrain",145.926,145.0226,130.9958,142.1357,160.7135,149.3653,130.2826,166.0707,164.7552,163.091,166.8077,164.7552,116.6917,162.8532,99.37609999999999
"Bangladesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",0.8,0,0.7742,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",0,0,0,0,0,0,0.2377,0,0,0,0,0,1.9653,0,0
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",1076,1041.2903,1427.8065,828.2143,1445.2258,1230.6667,1243.5806,1149.9,1181.5161,1016.9677,1744.3333,1386.5161,1722.5333,1777.7742,0
"Brunei Darussalam",67.93389999999999,63.9092,46.8669,51.2154,26.781,50.3189,33.0716,48.8479,48.6974,44.4347,31.4502,6.6956,41.7237,37.128,18.0586
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canada",3330.2573,3325.0587,3295.5787,3231.2186,3357.6294,3211.109,3319.8284,3259.2597,3422.5329,3446.7826,3554.551,3456.2923,3411.573,3164.8206,3378.5506
"Chile",0,0,0,0,0,0,0,0,0,0,1.864,0,3.728,7.8919,0
"China",178.852,123.9677,21.5083,24.035,0,41.0928,0,52.2089,10.9569,114.8371,176.7525,44.84,0,10.1452,0
"Chinese Taipei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
